Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB008","41B008","41B008 - Brussel (Beliardstraat)","SPO-BETB008_00010_100","CO","4.37585","50.84087","57.0","m","urban","traffic","19/10/2012 00:00:00","","SAM-BETB008_00010","3.0","m","10.0","m","5.0","m","","","Other","","","0","","","","","BRUSSEL","","","","","","","","","","SPP-BETB008_00010_1","19/10/2012 00:00:00","","automatic","NDIR","","","","","","","","ref","","1","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB008","41B008","41B008 - Brussel (Beliardstraat)","SPO-BETB008_00020_100","C6H6","4.37585","50.84087","57.0","m","urban","traffic","01/07/2018 00:00:00","","SAM-BETB008_00020","3.0","m","10.0","m","5.0","m","","","Other","","","0","","","","","BRUSSEL","","","","","","","","","","SPP-BETB008_00020_1","01/07/2018 00:00:00","","automatic","chemi","","","","","","","","ref","","0","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB008","41B008","41B008 - Brussel (Beliardstraat)","SPO-BETB008_00021_100","C6H5-CH3","4.37585","50.84087","57.0","m","urban","traffic","01/07/2018 00:00:00","","SAM-BETB008_00021","3.0","m","10.0","m","5.0","m","","","Other","","","0","","","","","BRUSSEL","","","","","","","","","","SPP-BETB008_00021_1","01/07/2018 00:00:00","","automatic","chemi","","","","","","","","ref","","0","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB008","41B008","41B008 - Brussel (Beliardstraat)","SPO-BETB008_00038_100","NO","4.37585","50.84087","57.0","m","urban","traffic","19/10/2012 00:00:00","","SAM-BETB008_00038","3.0","m","10.0","m","5.0","m","","","Other","","","0","","","","","BRUSSEL","","","","","","","","","","SPP-BETB008_00038_1","19/10/2012 00:00:00","","automatic","chemi","","","","","","","","ref","","2","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR750","60R750","60R750 - ZELZATE","SPO-BEPR750_00616_100","Benzo(b)fluoranthene","3.82292","51.19606","6.0","m","suburban","industrial","01/01/1995 00:00:00","","SAM-BEPR750_00616","2.0","m","","","","","","","Other","","","0","","","","","Zelzate","","","","","","","","","","SPP-BEPR750_00616_1","01/01/1995 00:00:00","","automatic","other","","","","","","","","ref","","10","ng.m-3","","http://report.irceline.be/qa/","1","day","1","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR750","60R750","60R750 - ZELZATE","SPO-BEPR750_00616_100","Benzo(b)fluoranthene","3.82292","51.19606","6.0","m","suburban","industrial","01/01/1995 00:00:00","","SAM-BEPR750_00616","2.0","m","","","","","","","Other","","","0","","","","","Zelzate","","","","","","","","","","SPP-BEPR750_00616_2","01/01/1997 00:00:00","","automatic","other","","","","","","","","ref","","1","ng.m-3","","http://report.irceline.be/qa/","1","day","1","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR750","60R750","60R750 - ZELZATE","SPO-BEPR750_00616_100","Benzo(b)fluoranthene","3.82292","51.19606","6.0","m","suburban","industrial","01/01/1995 00:00:00","","SAM-BEPR750_00616","2.0","m","","","","","","","Other","","","0","","","","","Zelzate","","","","","","","","","","SPP-BEPR750_00616_3","01/01/2000 00:00:00","","automatic","other","","","","","","","","ref","","1","ng.m-3","","http://report.irceline.be/qa/","1","day","4","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR750","60R750","60R750 - ZELZATE","SPO-BEPR750_00622_100","Benzo(ghi)perylene","3.82292","51.19606","6.0","m","suburban","industrial","01/01/1995 00:00:00","","SAM-BEPR750_00622","2.0","m","","","","","","","Other","","","0","","","","","Zelzate","","","","","","","","","","SPP-BEPR750_00622_1","01/01/1995 00:00:00","","automatic","other","","","","","","","","ref","","10","ng.m-3","","http://report.irceline.be/qa/","1","day","1","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR750","60R750","60R750 - ZELZATE","SPO-BEPR750_00622_100","Benzo(ghi)perylene","3.82292","51.19606","6.0","m","suburban","industrial","01/01/1995 00:00:00","","SAM-BEPR750_00622","2.0","m","","","","","","","Other","","","0","","","","","Zelzate","","","","","","","","","","SPP-BEPR750_00622_2","01/01/1997 00:00:00","","automatic","other","","","","","","","","ref","","1","ng.m-3","","http://report.irceline.be/qa/","1","day","1","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR750","60R750","60R750 - ZELZATE","SPO-BEPR750_00622_100","Benzo(ghi)perylene","3.82292","51.19606","6.0","m","suburban","industrial","01/01/1995 00:00:00","","SAM-BEPR750_00622","2.0","m","","","","","","","Other","","","0","","","","","Zelzate","","","","","","","","","","SPP-BEPR750_00622_3","01/01/2000 00:00:00","","automatic","other","","","","","","","","ref","","1","ng.m-3","","http://report.irceline.be/qa/","1","day","4","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
