Air Pollutant,Air Quality Station Name,Air Quality Station Type,Air Quality Network Name,Longitude,Latitude,HubName,HubDist,Pollutant_Group,In_Particulates
PM10,41WOL1 - WOL.ST.L.,traffic,Brussels,4.42576,50.85671,w460179336,3127.882706,Particulates,TRUE
PM10,41WOL1 - WOL.ST.L.,traffic,Brussels,4.42576,50.85671,w460179336,3127.882706,Particulates,TRUE
O3,41WOL1 - WOL.ST.L.,traffic,Brussels,4.42576,50.85671,w460179336,3127.882706,Others,FALSE
NO2,41WOL1 - WOL.ST.L.,traffic,Brussels,4.42576,50.85671,w460179336,3127.882706,Nitrogen compounds,FALSE
CO,41WOL1 - WOL.ST.L.,traffic,Brussels,4.42576,50.85671,w460179336,3127.882706,Others,FALSE
NO,41WOL1 - WOL.ST.L.,traffic,Brussels,4.42576,50.85671,w460179336,3127.882706,Nitrogen compounds,FALSE
Black Carbon,41WOL1 - WOL.ST.L.,traffic,Brussels,4.42576,50.85671,w460179336,3127.882706,Others,FALSE
C6H6,41WOL2 - WOL.ST.L.,background,Brussels,4.42579,50.85655,w460179336,3145.613531,Volatile organic compounds,FALSE
Benzo(a)anthracene,61N043 - HAREN,industrial,Brussels,4.38296,50.88356,w30343027,337.8945019,Volatile organic compounds,FALSE
Benzo(ghi)perylene,61N043 - HAREN,industrial,Brussels,4.38296,50.88356,w30343027,337.8945019,Volatile organic compounds,FALSE
Fluoranthene,61N043 - HAREN,industrial,Brussels,4.38296,50.88356,w30343027,337.8945019,Volatile organic compounds,FALSE
"Indeno-(1,2,3-cd)pyrene",61N043 - HAREN,industrial,Brussels,4.38296,50.88356,w30343027,337.8945019,Volatile organic compounds,FALSE
Pyrene,61N043 - HAREN,industrial,Brussels,4.38296,50.88356,w30343027,337.8945019,Volatile organic compounds,FALSE
Dibenzo(ah)anthracene,61N043 - HAREN,industrial,Brussels,4.38296,50.88356,w30343027,337.8945019,Volatile organic compounds,FALSE
BaP,61N043 - HAREN,industrial,Brussels,4.38296,50.88356,w30343027,337.8945019,Others,FALSE
Benzo(e)pyrene,61R001 - MOLENBEEK,background,Brussels,4.33382,50.84967,w39018402,1670.5471,Volatile organic compounds,FALSE
Benzo(a)anthracene,61R001 - MOLENBEEK,background,Brussels,4.33382,50.84967,w39018402,1670.5471,Volatile organic compounds,FALSE
Benzo(b)fluoranthene,61R001 - MOLENBEEK,background,Brussels,4.33382,50.84967,w39018402,1670.5471,Volatile organic compounds,FALSE
Benzo(ghi)perylene,61R001 - MOLENBEEK,background,Brussels,4.33382,50.84967,w39018402,1670.5471,Volatile organic compounds,FALSE
Benzo(k)fluoranthene,61R001 - MOLENBEEK,background,Brussels,4.33382,50.84967,w39018402,1670.5471,Volatile organic compounds,FALSE
Fluoranthene,61R001 - MOLENBEEK,background,Brussels,4.33382,50.84967,w39018402,1670.5471,Volatile organic compounds,FALSE
"Indeno-(1,2,3-cd)pyrene",61R001 - MOLENBEEK,background,Brussels,4.33382,50.84967,w39018402,1670.5471,Volatile organic compounds,FALSE
Pyrene,61R001 - MOLENBEEK,background,Brussels,4.33382,50.84967,w39018402,1670.5471,Volatile organic compounds,FALSE
Dibenzo(ah)anthracene,61R001 - MOLENBEEK,background,Brussels,4.33382,50.84967,w39018402,1670.5471,Volatile organic compounds,FALSE
BaP,61R001 - MOLENBEEK,background,Brussels,4.33382,50.84967,w39018402,1670.5471,Others,FALSE
Benzo(e)pyrene,61R002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Volatile organic compounds,FALSE
Benzo(a)anthracene,61R002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Volatile organic compounds,FALSE
Benzo(b)fluoranthene,61R002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Volatile organic compounds,FALSE
